종목명,달별 수익률,달
삼성전자,17.1319797,Jan-19
SK하이닉스,20.55464927,Jan-19
셀트리온,-2.449888641,Jan-19
삼성전자우,14.67889908,Jan-19
삼성바이오로직스,2.43902439,Jan-19
현대차,10.21276596,Jan-19
LG화학,4.843304843,Jan-19
SK텔레콤,-3.551401869,Jan-19
한국전력,4.07239819,Jan-19
POSCO,12.06543967,Jan-19
삼성물산,13.74407583,Jan-19
NAVER,12.39669421,Jan-19
KB금융,2.890792291,Jan-19
신한지주,7.063197026,Jan-19
현대모비스,18.11023622,Jan-19
SK,0.957854406,Jan-19
LG생활건강,14.3761302,Jan-19
삼성생명,8.078335373,Jan-19
삼성에스디에스,9.024390244,Jan-19
SK이노베이션,4.722222222,Jan-19
삼성SDI,0.675675676,Jan-19
KT&G,-1.393034826,Jan-19
기아차,8.669656203,Jan-19
삼성화재,1.865671642,Jan-19
LG,11.95965418,Jan-19
아모레퍼시픽,-12.74038462,Jan-19
하나금융지주,9.602194787,Jan-19
우리은행,#VALUE!,Jan-19
S-Oil,7.39979445,Jan-19
LG전자,5.213270142,Jan-19
엔씨소프트,0.861141012,Jan-19
셀트리온헬스케어,-2.745098039,Jan-19
롯데케미칼,8.108108108,Jan-19
넷마블,-5.726872247,Jan-19
현대중공업,6.94980695,Jan-19
카카오,-4.057971014,Jan-19
고려아연,3.040935673,Jan-19
KT,-3.703703704,Jan-19
LG유플러스,-14.44759207,Jan-19
기업은행,2.150537634,Jan-19
삼성전기,3.349282297,Jan-19
삼성전자,-3.32261522,Feb-19
SK하이닉스,-7.161803714,Feb-19
삼성전자우,-2.702702703,Feb-19
현대차,-2.316602317,Feb-19
셀트리온,-7.466063348,Feb-19
삼성바이오로직스,-5.408805031,Feb-19
LG화학,5.683355886,Feb-19
POSCO,-3.663003663,Feb-19
삼성물산,-3.347280335,Feb-19
NAVER,-3.623188406,Feb-19
한국전력,1.308139535,Feb-19
현대모비스,-2.2172949,Feb-19
SK텔레콤,0.773694391,Feb-19
신한지주,0.344827586,Feb-19
KB금융,-8.17805383,Feb-19
LG생활건강,-2.274509804,Feb-19
SK,4.206500956,Feb-19
삼성생명,0.910125142,Feb-19
SK이노베이션,-0.265251989,Feb-19
삼성에스디에스,3.828828829,Feb-19
삼성SDI,6.026785714,Feb-19
기아차,0.550206327,Feb-19
KT&G,5.5,Feb-19
LG,-4.458598726,Feb-19
삼성화재,9.239130435,Feb-19
하나금융지주,-3.358208955,Feb-19
S-Oil,-4.306220096,Feb-19
LG전자,6.334841629,Feb-19
아모레퍼시픽,10.19283747,Feb-19
셀트리온헬스케어,-6.809078772,Feb-19
